model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
S60,2020,22549,Automatic,19737,Petrol,20.0,2.0,volvo,30063551
Corsa,2021,12449,Manual,19751,Petrol,54.3,1.2,vauxhall,30384611
ASX,2020,16549,Manual,19773,Petrol,37.7,2.0,mitsubishi,30531516
Arona,2021,17549,Semi-Auto,19781,Petrol,47.9,1.0,seat,30384493
C4,2019,14699,Manual,19789,Diesel,70.6,1.5,citroen,30251202
Mazda3,2018,15049,Manual,19847,Petrol,55.4,2.0,mazda,30498690
Picanto,2022,10949,Manual,19861,Petrol,58.9,1.0,kia,30466659
Corsa,2020,13199,Manual,19882,Petrol,52.3,1.2,vauxhall,30367159
Focus,2017,11549,Manual,61858,Diesel,70.6,2.0,ford,30384526
308,2020,13599,Semi-Auto,44995,Diesel,62.8,1.5,peugeot,30348721
Fiesta,2016,9799,Manual,14571,Petrol,65.7,1.0,ford,30507564
Hatch,2021,17499,Semi-Auto,14602,Petrol,51.4,1.5,mini,30466701
Kuga,2017,16399,Automatic,14603,Petrol,38.2,1.5,ford,30389266
Micra,2016,11199,Automatic,14619,Petrol,52.3,1.2,nissan,30447817
Corsa,2020,14049,Manual,14634,Petrol,52.3,1.2,vauxhall,30384639
Fiesta,2019,13699,Manual,14660,Petrol,58.9,1.0,ford,30188274
Mokka X,2019,15599,Semi-Auto,14678,Petrol,37.2,1.4,vauxhall,30392921
Aygo,2020,11089,Manual,14684,Petrol,57.7,1.0,toyota,30546333
Kamiq,2020,15899,Manual,14690,Petrol,49.6,1.0,skoda,30233534
Panda,2016,7549,Manual,14692,Petrol,55.4,1.2,fiat,30514580
Golf,2019,13949,Manual,48911,Petrol,49.6,1.0,volkswagen,30367151
CRV,2017,19999,Automatic,10465,Diesel,55.4,1.6,honda,30438229
Fiesta,2017,10089,Manual,14693,Petrol,54.3,1.2,ford,30562797
T-Roc,2021,24349,Manual,14693,Diesel,58.9,2.0,volkswagen,30307968
Corsa,2020,13999,Manual,14696,Petrol,52.3,1.2,vauxhall,30407475
Polo,2021,16749,Manual,14699,Petrol,47.9,1.0,volkswagen,30562785
A4,2020,25999,Semi-Auto,14706,Diesel,50.4,2.0,audi,30161794
Clio,2019,10249,Manual,14711,Petrol,46.3,0.9,renault,30401253
Ignis,2021,11399,Manual,14728,Petrol,55.4,1.2,suzuki,30188214
Vitara,2019,15849,Automatic,14768,Petrol,40.4,1.0,suzuki,30551703
Polo,2019,13549,Manual,35519,Petrol,48.7,1.0,volkswagen,30531342
Qashqai,2018,14549,Manual,54676,Diesel,74.3,1.5,nissan,30519600
Corsa,2021,13399,Manual,20340,Petrol,53.3,1.2,vauxhall,30178835
Aygo,2018,10049,Manual,20341,Petrol,56.5,1.0,toyota,30417375
MG3,2020,10349,Manual,20347,Petrol,47.1,1.5,mg,30384506
Arona,2020,14549,Manual,20351,Petrol,49.6,1.0,seat,30178613
Fabia,2020,13849,Manual,20362,Petrol,51.4,1.0,skoda,30502702
Ibiza,2020,12849,Manual,20393,Petrol,55.4,1.0,seat,30476728
Fiesta,2019,12499,Manual,20395,Petrol,56.5,1.0,ford,30251099
Focus,2020,16749,Manual,20410,Petrol,60.1,1.0,ford,30531564
A Class,2019,21049,Semi-Auto,20416,Diesel,67.3,1.5,mercedes-benz,30384455
500,2018,9049,Manual,20577,Petrol,60.1,1.2,fiat,30373366
Hatch,2020,15849,Manual,23088,Petrol,47.9,1.5,mini,30451769
Juke,2019,15349,Automatic,20577,Petrol,34.9,1.6,nissan,30514563
Polo,2020,16899,Manual,20581,Petrol,49.6,1.0,volkswagen,30424993
Duster,2021,15849,Manual,20583,Petrol,44.1,1.3,dacia,30498505
Picanto,2017,10399,Manual,20601,Petrol,61.4,1.2,kia,30438116
Ka+,2019,10849,Manual,20609,Petrol,43.5,1.2,ford,30448048
Fiesta,2021,13549,Manual,20645,Petrol,54.3,1.0,ford,30107848
2008,2020,16549,Manual,20647,Petrol,52.3,1.2,peugeot,30181575
Captur,2019,12549,Manual,20650,Petrol,52.3,0.9,renault,30118253
Picanto,2017,8849,Manual,20661,Petrol,64.2,1.0,kia,30531466
Arona,2020,15849,Semi-Auto,20675,Petrol,47.1,1.0,seat,30490094
Up,2018,11549,Manual,18440,Petrol,64.2,1.0,volkswagen,30451762
Fiesta,2021,15499,Manual,15020,Petrol,57.7,1.0,ford,30498621
500,2017,9599,Manual,15027,Petrol,60.1,1.2,fiat,30498610
Duster,2019,14549,Manual,15033,Petrol,41.5,1.3,dacia,30155562
Ceed,2022,20049,Manual,15033,Petrol,49.6,1.5,kia,30384585
Swift,2020,10949,Manual,15034,Petrol,51.4,1.2,suzuki,30178423
Clio,2020,12399,Manual,15042,Petrol,49.6,1.0,renault,30384397
i10,2016,8049,Manual,15070,Petrol,60.1,1.0,hyundai,30447972
Clio,2020,13399,Manual,15073,Petrol,49.6,1.0,renault,30367126
Fiesta,2020,12349,Manual,15076,Petrol,53.3,1.1,ford,30476799
Golf,2019,25849,Semi-Auto,15078,Petrol,37.7,2.0,volkswagen,30531353
Passat,2020,19399,Manual,24489,Petrol,45.6,1.5,volkswagen,30354460
T-Roc,2020,20799,Manual,32500,Petrol,44.8,1.5,volkswagen,30551749
Aygo,2018,9049,Manual,20861,Petrol,56.5,1.0,toyota,30118326
Aygo,2019,10199,Manual,20875,Petrol,56.5,1.0,toyota,30325227
Ka+,2019,10799,Manual,20875,Petrol,43.5,1.2,ford,30438128
Corsa,2018,9049,Manual,20882,Petrol,54.3,1.4,vauxhall,30514536
Venga,2016,11699,Automatic,20883,Petrol,43.4,1.6,kia,30417037
Fiesta,2020,14349,Manual,20909,Petrol,54.3,1.0,ford,30417401
Arona,2019,14749,Semi-Auto,20920,Petrol,47.1,1.0,seat,30531443
Tiguan,2019,18349,Manual,20944,Petrol,42.2,1.5,volkswagen,30429263
Polo,2021,15549,Manual,20955,Petrol,51.4,1.0,volkswagen,30476800
500,2018,9199,Manual,21007,Petrol,60.1,1.2,fiat,30448081
2008,2018,13549,Manual,18383,Diesel,76.3,1.6,peugeot,30498638
Karoq,2018,16599,Automatic,54973,Diesel,62.8,1.6,skoda,30298497
Polo,2020,16049,Manual,15223,Petrol,50.4,1.0,volkswagen,30417344
595,2021,15349,Manual,15224,Petrol,41.5,1.4,abarth,30514547
MG3,2020,10449,Manual,15263,Petrol,47.1,1.5,mg,30460805
Adam,2017,9499,Manual,15273,Petrol,53.3,1.2,vauxhall,30447948
Fabia,2020,12549,Manual,15279,Petrol,51.4,1.0,skoda,30549634
Viva,2019,8749,Manual,15307,Petrol,46.3,1.0,vauxhall,30417074
Q3,2020,28299,Semi-Auto,15307,Diesel,47.1,2.0,audi,30384445
Jazz,2018,11399,Manual,17860,Petrol,56.5,1.3,honda,30466645
Fiesta,2020,14199,Manual,24337,Petrol,54.3,1.0,ford,30438121
Clio,2018,10749,Manual,21243,Petrol,47.1,0.9,renault,30299772
Focus,2019,15599,Manual,21258,Petrol,58.9,1.0,ford,30519589
Countryman,2019,23699,Semi-Auto,21261,Petrol,40.4,2.0,mini,30384619
E-PACE,2019,26299,Automatic,21263,Diesel,39.2,2.0,jaguar,30476719
Range Rover Evoque,2020,25699,Manual,21291,Diesel,44.8,2.0,land rover,30424966
Up,2018,9599,Manual,21336,Petrol,64.2,1.0,volkswagen,30155463
308,2019,14599,Manual,21369,Petrol,48.7,1.2,peugeot,30498570
Qashqai,2018,15599,Manual,21370,Petrol,50.4,1.2,nissan,30502676
Mokka X,2018,13049,Manual,21404,Petrol,39.2,1.4,vauxhall,30251213
Viva,2019,8899,Manual,21453,Petrol,46.3,1.0,vauxhall,30295022
Passat,2019,14699,Manual,65629,Diesel,53.3,2.0,volkswagen,30281333
Q2,2021,25950,Automatic,10457,Petrol,46.3,1.5,audi,30231868
A5,2020,28990,Automatic,12346,Diesel,54.3,2.0,audi,30127852
TT,2020,30990,Automatic,12365,Petrol,34.9,2.0,audi,30405795
A4,2022,25990,Automatic,12800,Petrol,44.8,2.0,audi,30061121
Q2,2022,28990,Automatic,13851,Petrol,44.8,1.5,audi,30428355
TT,2020,27990,Automatic,13900,Petrol,40.9,2.0,audi,30411041
A5,2021,30990,Automatic,14058,Diesel,54.3,2.0,audi,30377164
A3,2021,26450,Automatic,14478,Petrol,47.9,1.5,audi,30428352
A5,2021,28450,Automatic,14744,Diesel,55.4,2.0,audi,30377160
5 Series,2016,16549,Semi-Auto,50622,Diesel,62.8,2.0,bmw,30557565
A3,2020,21130,Manual,14800,Petrol,47.1,1.0,audi,30207880
Q2,2022,27990,Automatic,14965,Petrol,44.8,1.5,audi,30434084
Q7,2019,45990,Automatic,15000,Diesel,32.8,3.0,audi,29990075
A1,2019,18660,Automatic,16528,Petrol,47.9,1.0,audi,30405789
A1,2020,20990,Automatic,16665,Petrol,44.8,1.0,audi,30442544
A5,2021,30990,Automatic,17400,Diesel,54.3,2.0,audi,30335724
A6,2021,34250,Automatic,17500,Diesel,47.1,2.0,audi,30250449
Q3,2019,27490,Automatic,18000,Diesel,47.1,2.0,audi,30470835
RS6,2021,89990,Automatic,19106,Petrol,22.2,4.0,audi,30377149
A6,2019,27990,Automatic,19600,Diesel,50.4,2.0,audi,29983375
i30,2018,11199,Manual,38645,Petrol,56.5,1.0,hyundai,30348651
CX-3,2019,13849,Manual,49479,Petrol,42.8,2.0,mazda,30602789
A5,2021,29990,Automatic,20102,Diesel,54.3,2.0,audi,30377161
A4,2022,29650,Automatic,21220,Petrol,40.9,2.0,audi,30377151
A5,2021,26990,Automatic,22222,Diesel,57.7,2.0,audi,30405793
A4,2020,27990,Automatic,22705,Diesel,50.4,2.0,audi,30265920
A4,2020,24500,Automatic,23150,Diesel,54.3,2.0,audi,30428351
A1,2020,17450,Manual,23300,Petrol,48.7,1.0,audi,30460053
TT,2019,24450,Automatic,23447,Petrol,34.9,2.0,audi,29844349
A4,2019,25750,Automatic,24195,Petrol,39.2,2.0,audi,30411055
Q3,2020,31250,Automatic,24703,Petrol,31.4,2.0,audi,30321205
Mokka X,2019,15499,Semi-Auto,23243,Petrol,37.2,1.4,vauxhall,30360551
A5,2020,28450,Automatic,25759,Diesel,52.3,2.0,audi,30473594
Q2,2019,17950,Manual,26089,Petrol,47.1,1.0,audi,30464278
A4,2022,37990,Automatic,28111,Diesel,39.8,3.0,audi,30442548
Q7,2020,45450,Automatic,28548,Diesel,33.2,3.0,audi,30411051
A3,2017,12450,Manual,29000,Petrol,62.8,1.0,audi,30000145
RS3,2018,38990,Automatic,30250,Petrol,34.0,2.5,audi,30231866
Q2,2018,18250,Manual,31350,Petrol,50.4,1.4,audi,30131882
Q2,2017,16650,Manual,32034,Petrol,52.3,1.4,audi,30414729
TT,2020,23990,Automatic,32137,Petrol,40.9,2.0,audi,30382089
Corsa,2019,10499,Manual,16972,Petrol,43.5,1.4,vauxhall,30514583
Q2,2019,18450,Manual,32300,Petrol,42.8,1.5,audi,30470838
Q2,2019,18950,Manual,33673,Diesel,47.9,1.6,audi,30335727
Q7,2020,45450,Automatic,33950,Diesel,33.2,3.0,audi,29901478
A6,2020,29750,Automatic,34200,Diesel,50.4,2.0,audi,30397520
Q7,2020,48990,Automatic,37250,Diesel,33.2,3.0,audi,30321204
A6,2019,23990,Automatic,37300,Diesel,50.4,2.0,audi,30099358
A8,2019,30990,Automatic,37450,Diesel,40.4,3.0,audi,29996457
A5,2019,24750,Automatic,39064,Diesel,50.4,2.0,audi,30202904
Q5,2018,27990,Automatic,39600,Diesel,55.4,2.0,audi,30460051
Q5,2018,35450,Automatic,40044,Petrol,34.0,3.0,audi,30464281
Q2,2019,18549,Semi-Auto,54072,Petrol,42.8,1.5,audi,30498680
Micra,2019,9599,Manual,61933,Petrol,50.4,1.0,nissan,30354515
RS5,2019,43990,Automatic,41000,Petrol,29.7,2.9,audi,30442542
Q3,2018,15900,Manual,47732,Petrol,51.4,1.4,audi,30165893
A4,2019,19990,Manual,50741,Petrol,38.7,2.0,audi,30279997
A6,2017,14850,Manual,57600,Diesel,65.7,2.0,audi,30473593
A6,2019,21990,Automatic,68000,Diesel,50.4,2.0,audi,30447415
A1,2015,9820,Manual,68235,Petrol,55.4,1.4,audi,30473595
A3,2017,12450,Manual,72300,Petrol,60.1,1.4,audi,30470837
Picanto,2022,16194,Manual,10832,Petrol,52.3,1.0,kia,30600830
C Class,2018,19849,Semi-Auto,23362,Diesel,61.4,2.1,mercedes-benz,30384632
Fiesta,2019,13999,Manual,61816,Petrol,40.3,1.5,ford,30507610
i10,2017,7950,Manual,19480,Petrol,60.1,1.0,hyundai,30465239
308,2019,14495,Automatic,19888,Petrol,48.7,1.2,peugeot,30002522
C4 Cactus,2018,10995,Manual,24791,Petrol,65.7,1.2,citroen,30465238
HS,2022,17995,Manual,25168,Petrol,38.2,1.5,mg,30571815
208,2019,9995,Manual,30639,Petrol,58.9,1.2,peugeot,30529023
Ateca,2019,19199,Semi-Auto,20827,Petrol,40.9,1.5,seat,30161838
Passat,2018,13799,Manual,62761,Diesel,54.3,2.0,volkswagen,30490117
Range Rover Velar,2019,33995,Automatic,40717,Diesel,42.2,2.0,land rover,30248666
i20,2015,7995,Manual,43377,Petrol,55.4,1.2,hyundai,30465236
5008,2018,21995,Manual,44254,Diesel,67.3,1.5,peugeot,29617123
Range Rover Sport,2018,44950,Automatic,44491,Diesel,40.4,3.0,land rover,30428517
Tiguan,2018,19795,Manual,44828,Diesel,47.9,2.0,volkswagen,29672151
C4 Cactus,2017,9295,Manual,47252,Diesel,78.5,1.6,citroen,30383976
A6,2019,31995,Automatic,48031,Diesel,39.2,3.0,audi,27114470
Countryman,2018,14995,Manual,51513,Diesel,65.7,2.0,mini,28003522
E Class,2017,24995,Automatic,51754,Diesel,70.6,1.9,mercedes-benz,29698484
1 Series,2020,25140,Automatic,52859,Diesel,57.7,1.5,bmw,30529020
Civic,2017,11495,Manual,54869,Petrol,58.9,1.0,honda,30248668
F-PACE,2018,24495,Automatic,55556,Diesel,55.4,2.0,jaguar,29902185
F-PACE,2019,26495,Automatic,58079,Diesel,46.3,2.0,jaguar,29815692
Civic,2019,15950,Manual,58330,Diesel,80.7,1.6,honda,29920059
C1,2019,8249,Manual,27640,Petrol,58.9,1.0,citroen,30447933
Hatch,2019,16699,Semi-Auto,39496,Petrol,47.9,1.5,mini,30519583
A6,2018,28950,Automatic,59776,Petrol,30.1,4.0,audi,30322730
E-PACE,2018,23995,Automatic,62882,Diesel,50.4,2.0,jaguar,29983893
C Class,2018,18995,Automatic,63020,Diesel,61.4,2.1,mercedes-benz,29902183
Discovery Sport,2018,28194,Automatic,65598,Diesel,40.4,2.0,land rover,30571814
Clio,2020,14100,Manual,65779,Diesel,60.1,1.5,renault,30529021
V60,2019,18950,Manual,67292,Diesel,48.7,2.0,volvo,29611629
i10,2014,5695,Manual,69647,Petrol,60.1,1.0,hyundai,30598035
Qashqai,2013,7495,Manual,70932,Diesel,54.3,1.5,nissan,30600831
Civic,2018,12795,Manual,71899,Diesel,80.7,1.6,honda,29760809
A4,2019,19194,Automatic,73267,Diesel,51.4,2.0,audi,30529019
3 Series,2015,14950,Automatic,80412,Diesel,56.5,3.0,bmw,30383977
Kuga,2017,12495,Manual,81889,Diesel,60.1,2.0,ford,30571813
Tiguan,2019,17995,Automatic,83816,Diesel,46.3,2.0,volkswagen,29154569
Discovery Sport,2018,17450,Manual,86106,Diesel,60.1,2.0,land rover,29182547
Civic,2016,10950,Manual,89373,Diesel,78.5,1.6,honda,29611630
E Class,2017,22950,Automatic,89973,Diesel,70.6,1.9,mercedes-benz,29076717
F-PACE,2017,19950,Manual,90652,Diesel,57.7,2.0,jaguar,29902186
Discovery Sport,2020,20995,Automatic,91519,Diesel,39.8,2.0,land rover,30465234
CLS Class,2014,15995,Automatic,92709,Diesel,52.3,3.0,mercedes-benz,29325656
A5,2015,14495,Automatic,94011,Diesel,47.9,3.0,audi,28751542
Leon,2019,16299,Manual,26552,Petrol,49.6,1.5,seat,30429285
Mondeo,2017,9495,Manual,99654,Diesel,78.5,1.5,ford,28652476
Tiguan,2018,13750,Manual,111593,Diesel,60.1,2.0,volkswagen,29573899
Focus,2018,9995,Manual,113206,Diesel,80.7,1.5,ford,29045617
3 Series,2016,11995,Automatic,127889,Diesel,62.8,2.0,bmw,29760814
D-Max,2019,39594,Automatic,33226,Diesel,36.2,1.9,isuzu,30529022
1 Series,2019,19349,Manual,32713,Diesel,70.6,1.5,bmw,30582315
Tiguan,2016,16899,Semi-Auto,48998,Diesel,49.6,2.0,volkswagen,30308018
Boxster,2023,73317,Automatic,1000,Petrol,30.7,2.5,porsche,30434043
911,2023,140950,Automatic,1704,Petrol,26.9,3.0,porsche,30447379
Cayenne,2023,78950,Automatic,2230,Petrol,24.4,3.0,porsche,30365292
Cayenne,2023,75950,Automatic,3500,Petrol,24.6,3.0,porsche,30370767
911,2018,78950,Automatic,7300,Petrol,33.2,3.0,porsche,30238013
911,2021,96950,Automatic,9975,Petrol,27.4,3.0,porsche,30411016
911,2020,149950,Automatic,13341,Petrol,23.5,3.7,porsche,30238001
Octavia,2019,12949,Manual,41239,Petrol,52.3,1.0,skoda,30477128
Hatch,2020,16449,Manual,33498,Petrol,48.7,1.5,mini,30572136
Macan,2018,49950,Automatic,18717,Petrol,31.7,3.6,porsche,30265779
911,2020,99950,Automatic,19773,Petrol,28.5,3.0,porsche,30238000
911,2017,113950,Automatic,20750,Petrol,31.0,3.8,porsche,30238010
Cayman,2017,43000,Automatic,21500,Petrol,40.9,2.0,porsche,30303506
Cayenne,2020,67500,Automatic,23604,Petrol,23.9,3.0,porsche,30470585
Boxster,2013,38950,Automatic,30500,Petrol,35.3,3.4,porsche,30445968
Macan,2017,42950,Automatic,36339,Petrol,32.1,3.0,porsche,30470583
911,2014,59950,Automatic,44873,Petrol,31.0,3.8,porsche,30238008
1 Series,2020,21499,Semi-Auto,41849,Petrol,40.4,1.5,bmw,30367173
500,2018,8249,Manual,36469,Petrol,60.1,1.2,fiat,30307969
Macan,2015,35500,Automatic,45141,Petrol,32.1,3.0,porsche,30411019
Macan,2016,34950,Automatic,51434,Diesel,46.3,3.0,porsche,30411018
Captur,2019,11495,Manual,24000,Petrol,42.8,1.3,renault,30420602
DS4,2013,5995,Manual,67000,Diesel,55.4,2.0,citroen,30107203
3 Series,2014,13995,Automatic,86000,Diesel,58.9,2.0,bmw,30442987
GTC,2012,4395,Manual,88000,Petrol,47.9,1.4,vauxhall,30166360
Golf,2015,14995,Manual,88000,Petrol,39.8,2.0,volkswagen,30473701
5 Series,2016,10995,Automatic,99000,Diesel,68.9,2.0,bmw,30420601
Grand C-MAX,2011,5495,Manual,106000,Diesel,57.7,1.6,ford,30414857
S-MAX,2012,6495,Manual,116000,Diesel,52.3,2.0,ford,30036433
GLC Class,2019,26049,Semi-Auto,55710,Petrol,43.5,2.0,mercedes-benz,30233488
Venga,2018,14299,Automatic,17712,Petrol,43.4,1.6,kia,30460766
Golf,2013,8995,Manual,120000,Diesel,67.3,2.0,volkswagen,30248547
DS3,2014,3595,Manual,135000,Diesel,76.3,1.6,citroen,30475152
F-TYPE,2014,28990,Automatic,17000,Petrol,32.8,3.0,jaguar,30265854
Panamera,2019,59950,Automatic,25348,Petrol,25.9,2.9,porsche,28671018
A1,2015,10450,Manual,37000,Petrol,53.3,1.4,audi,30225824
C4 Cactus,2019,10950,Manual,39000,Petrol,55.4,1.2,citroen,29616694
508,2019,17450,Automatic,39000,Diesel,58.9,1.5,peugeot,30377335
Golf,2019,23950,Automatic,40830,Petrol,37.7,2.0,volkswagen,29671697
CLA Class,2019,25990,Automatic,47299,Petrol,44.1,1.3,mercedes-benz,30381969
Continental,2007,28950,Automatic,47600,Petrol,16.5,6.0,bentley,28146644
T-Roc,2018,20699,Manual,49718,Petrol,53.3,1.5,volkswagen,30477062
Up,2017,8899,Manual,36019,Petrol,64.2,1.0,volkswagen,30507568
3008,2017,14950,Manual,47861,Diesel,64.2,2.0,peugeot,30116769
GLA Class,2014,17450,Automatic,52000,Petrol,42.8,2.0,mercedes-benz,30248287
4 Series,2019,20450,Automatic,53000,Diesel,65.7,2.0,bmw,30316404
Sportage,2019,16950,Automatic,53474,Diesel,47.1,1.6,kia,29643470
Q5,2020,29990,Automatic,55995,Diesel,38.2,2.0,audi,30094501
Insignia,2015,9950,Manual,56000,Diesel,76.3,2.0,vauxhall,28975642
E Class,2018,25950,Automatic,56071,Diesel,70.6,1.9,mercedes-benz,30527924
2 Series,2018,13450,Manual,58000,Petrol,42.8,1.5,bmw,30370962
GLC Class,2017,25950,Automatic,58000,Diesel,56.5,2.1,mercedes-benz,30527922
Arona,2021,13099,Manual,40877,Petrol,51.4,1.0,seat,30348605
C-HR,2019,18299,Automatic,58616,Hybrid,72.4,1.8,toyota,30466752
Qashqai,2019,13950,Manual,59972,Diesel,52.3,1.5,nissan,29748406
Mazda3,2016,9950,Manual,63000,Petrol,55.4,2.0,mazda,30527929
Tiguan,2017,17950,Automatic,64357,Diesel,49.6,2.0,volkswagen,29996524
Kadjar,2017,11990,Automatic,65000,Diesel,74.3,1.5,renault,30175598
X3,2017,19990,Automatic,65200,Diesel,54.3,2.0,bmw,30381968
3 Series,2019,19950,Automatic,65445,Petrol,47.9,2.0,bmw,30527927
TT,2015,19990,Automatic,71000,Petrol,41.5,2.0,audi,30575963
C Class,2019,20149,Manual,31690,Diesel,65.7,1.6,mercedes-benz,30498522
XE,2016,14999,Automatic,50643,Diesel,60.6,2.0,jaguar,30384580
B Class,2015,12990,Automatic,73000,Diesel,65.7,2.1,mercedes-benz,28744427
C Class,2014,14990,Automatic,73000,Petrol,51.4,2.0,mercedes-benz,30527919
Leon,2016,12490,Automatic,73288,Petrol,60.1,1.4,seat,29901464
C Class,2016,13990,Automatic,74000,Petrol,53.3,2.0,mercedes-benz,30442694
Zafira,2015,8450,Manual,74355,Petrol,42.2,1.4,vauxhall,29901463
Levante,2016,24950,Automatic,74494,Diesel,39.2,3.0,maserati,29304294
A6,2019,23950,Automatic,75162,Diesel,50.4,2.0,audi,29559472
Discovery,2017,33990,Automatic,75624,Diesel,47.9,3.0,land rover,28384150
Discovery,2017,32950,Automatic,77000,Diesel,47.9,3.0,land rover,28371004
Grandland X,2018,13990,Automatic,77722,Diesel,65.7,1.6,vauxhall,30381970
Fiesta,2019,11549,Manual,52656,Petrol,60.1,1.0,ford,30490120
XF,2016,14950,Automatic,81814,Diesel,57.7,2.2,jaguar,29983407
Golf,2019,11990,Manual,86000,Diesel,57.7,1.6,volkswagen,30550096
Insignia,2018,7950,Manual,90215,Diesel,70.6,1.6,vauxhall,29647364
Boxster,2005,8950,Manual,92000,Petrol,29.4,2.7,porsche,29781656
Grand C4 Picasso,2015,8950,Manual,92000,Diesel,70.6,1.6,citroen,30134722
A5,2017,19950,Automatic,98000,Petrol,37.7,3.0,audi,30527931
Golf,2017,14950,Automatic,98162,Diesel,62.8,2.0,volkswagen,29901470
2 Series,2019,19990,Automatic,41432,Diesel,48.7,2.0,bmw,29655077
CRV,2012,7990,Manual,58000,Petrol,34.4,2.0,honda,30597475
Jazz,2018,9990,Manual,58000,Petrol,56.5,1.3,honda,30561078
GLC Class,2019,30199,Semi-Auto,30108,Diesel,44.8,1.9,mercedes-benz,30490157
Other,2023,20995,Manual,401,Petrol,53.3,1.0,other,30470966
Other,2023,19895,Manual,559,Petrol,53.3,1.0,other,30473663
Other,2023,21495,Automatic,659,Petrol,53.3,1.0,other,30473662
Kona,2023,20995,Manual,729,Petrol,47.1,1.0,hyundai,30470957
Tucson,2022,24995,Manual,3264,Petrol,42.2,1.6,hyundai,30470962
i20,2022,24995,Manual,8269,Petrol,40.4,1.6,hyundai,30470954
Tucson,2021,27495,Manual,8777,Petrol,40.9,1.6,hyundai,30254739
E-PACE,2018,22899,Manual,34295,Diesel,60.1,2.0,jaguar,30466674
Clio,2018,10049,Manual,30180,Petrol,46.3,0.9,renault,30507588
Kona,2022,20995,Manual,9455,Petrol,46.3,1.0,hyundai,30266059
i20,2019,11995,Manual,20899,Petrol,47.9,1.0,hyundai,30284344
Tucson,2020,20995,Manual,23713,Diesel,48.7,1.6,hyundai,30470959
Tucson,2019,14975,Manual,27882,Petrol,34.9,1.6,hyundai,30470956
i20,2019,11595,Manual,32934,Petrol,47.9,1.0,hyundai,30470958
2008,2020,19995,Automatic,9423,Petrol,47.1,1.2,peugeot,29524129
Fiesta,2019,11299,Manual,58710,Diesel,58.9,1.5,ford,30429186
Arona,2020,13599,Manual,25088,Petrol,51.4,1.0,seat,30373291
Hatch,2015,10495,Manual,15325,Petrol,62.8,1.5,mini,30383895
Qashqai,2021,19350,Manual,17070,Petrol,44.1,1.3,nissan,30266143
Swift,2020,11895,Manual,17480,Petrol,56.5,1.2,suzuki,30414832
A6,2020,28499,Semi-Auto,33955,Diesel,50.4,2.0,audi,30407562
S90,2019,21295,Automatic,33830,Petrol,42.2,2.0,volvo,30473685
Niro,2018,15895,Automatic,39162,Petrol,74.3,1.6,kia,30266139
Corolla,2019,16495,Automatic,41951,Petrol,62.8,1.8,toyota,29901979
Arona,2023,20990,Manual,3500,Petrol,53.3,1.0,seat,30428204
Ateca,2023,24990,Automatic,4455,Petrol,42.2,1.5,seat,30464454
Arona,2022,19990,Manual,5633,Petrol,51.4,1.0,seat,30464455
Sandero Stepway,2021,13990,Manual,9671,Petrol,50.4,1.0,dacia,30341738
Leon,2019,15490,Manual,12830,Petrol,52.3,1.5,seat,29187822
Arona,2022,18990,Manual,13000,Petrol,51.4,1.0,seat,30434046
Mazda6,2018,15049,Manual,26557,Petrol,42.2,2.0,mazda,30587949
Ateca,2019,21490,Automatic,13500,Petrol,40.9,1.5,seat,29187875
Formentor,2021,22990,Manual,16852,Petrol,44.8,1.5,cupra,29187868
Leon,2022,22990,Automatic,17911,Petrol,47.9,1.5,seat,30445969
C Class,2019,22490,Automatic,18123,Petrol,45.6,1.5,mercedes-benz,30303508
GLA Class,2019,19495,Manual,22264,Petrol,40.9,1.6,mercedes-benz,30019803
S90,2017,22990,Automatic,23175,Diesel,58.9,2.0,volvo,30127825
i10,2019,8990,Manual,23723,Petrol,60.1,1.0,hyundai,30345499
Captur,2020,13990,Manual,24517,Petrol,47.1,1.0,renault,30265784
Vitara,2020,15349,Manual,38754,Petrol,49.6,1.4,suzuki,30551697
Range Rover Velar,2017,26199,Automatic,63559,Diesel,52.3,2.0,land rover,30502713
5 Series,2020,24990,Automatic,26627,Diesel,49.6,2.0,bmw,30288673
Niro,2019,19750,Automatic,26679,Petrol,54.3,1.6,kia,30028823
CLS Class,2017,21990,Automatic,28001,Diesel,51.4,3.0,mercedes-benz,30293684
Ceed,2018,15490,Manual,28913,Petrol,45.6,1.4,kia,30316340
Leon,2020,13490,Manual,30000,Petrol,53.3,1.0,seat,29187788
Mazda6,2018,15990,Manual,30110,Petrol,47.9,2.0,mazda,30116783
Mustang,2018,25990,Automatic,30392,Petrol,28.8,2.3,ford,30127830
Leon,2019,20990,Automatic,32745,Petrol,38.7,2.0,seat,30205919
Focus,2019,17399,Automatic,28067,Diesel,64.2,2.0,ford,30308132
F-PACE,2019,27549,Automatic,42731,Diesel,42.2,2.0,jaguar,30546271
Kuga,2019,15990,Manual,33287,Diesel,54.3,1.5,ford,30231782
Stonic,2022,13750,Manual,35127,Petrol,51.4,1.0,kia,29912350
4 Series,2018,18990,Automatic,35860,Diesel,60.1,2.0,bmw,30238015
Ateca,2018,15990,Automatic,47732,Diesel,48.7,1.6,seat,30238019
Arteon,2017,19990,Automatic,48939,Petrol,38.7,2.0,volkswagen,30306043
3 Series,2019,21990,Automatic,50697,Petrol,8.8,2.0,bmw,29851678
2 Series,2018,13990,Manual,52598,Petrol,52.3,1.5,bmw,30175530
